ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,0.5151050090789795,"[1, 6, 11, 13, 19, 21, 23, 25, 30, 36, 38, 42, 47, 48, 52, 55, 61, 63, 67, 72, 78, 83, 84, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
2,0.23968863487243652,"[1, 5, 8, 11, 13, 21, 23, 25, 30, 36, 38, 42, 47, 48, 52, 55, 61, 63, 67, 72, 78, 83, 84, 86, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
3,0.4646477699279785,"[1, 6, 11, 13, 19, 21, 23, 25, 30, 36, 38, 42, 47, 48, 52, 56, 57, 61, 63, 67, 72, 78, 83, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
4,0.36249470710754395,"[1, 5, 8, 11, 21, 22, 23, 25, 30, 36, 38, 42, 47, 48, 52, 55, 56, 61, 63, 67, 72, 78, 83, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
5,0.6431741714477539,"[1, 6, 11, 13, 19, 21, 23, 25, 30, 36, 38, 42, 47, 48, 50, 52, 56, 60, 67, 70, 72, 78, 83, 86, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
6,0.3656327724456787,"[1, 4, 8, 21, 22, 23, 26, 30, 31, 36, 38, 42, 47, 48, 50, 52, 54, 61, 67, 72, 78, 83, 84, 86, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
7,0.17514801025390625,"[1, 6, 11, 13, 19, 21, 23, 25, 30, 36, 38, 42, 47, 48, 52, 55, 61, 63, 67, 72, 78, 83, 84, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
8,0.3478970527648926,"[1, 6, 11, 13, 19, 21, 23, 25, 30, 36, 38, 42, 47, 48, 52, 55, 56, 61, 63, 67, 72, 78, 83, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
9,0.28337931632995605,"[0, 4, 8, 15, 22, 23, 27, 28, 33, 36, 38, 41, 49, 50, 52, 54, 61, 67, 72, 78, 79, 84, 86, 87, 91, 92, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
10,0.20603418350219727,"[1, 5, 8, 11, 17, 21, 23, 25, 30, 36, 38, 42, 47, 48, 51, 52, 56, 61, 63, 67, 72, 78, 83, 85, 87, 93, 98, 100, 103]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",29,29,True
