ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,15.00184154510498,"[1, 66, 65, 5, 7, 72, 11, 76, 13, 78, 79, 83, 21, 23, 87, 25, 89, 90, 30, 97, 99, 100, 103, 44, 46, 49, 52, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",31,29,True
2,15.010668516159058,"[1, 66, 5, 8, 72, 11, 76, 78, 80, 82, 84, 21, 22, 23, 87, 25, 90, 30, 94, 96, 34, 35, 99, 102, 38, 105, 45, 55, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
3,15.081243515014648,"[1, 68, 5, 7, 8, 72, 11, 76, 78, 83, 85, 21, 23, 25, 93, 30, 96, 97, 34, 35, 99, 103, 46, 47, 48, 50, 52, 53, 56, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
4,15.043830156326294,"[1, 67, 4, 8, 72, 11, 78, 79, 21, 22, 23, 86, 25, 87, 30, 95, 98, 35, 36, 38, 39, 104, 42, 43, 45, 47, 50, 56, 60, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
5,15.001664400100708,"[1, 4, 8, 72, 11, 76, 78, 79, 81, 84, 21, 22, 23, 85, 25, 87, 30, 95, 34, 35, 99, 104, 105, 106, 43, 45, 49, 55, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
6,30.83876132965088,"[67, 5, 8, 72, 78, 79, 81, 17, 84, 21, 86, 23, 87, 25, 28, 30, 31, 95, 97, 34, 35, 39, 104, 43, 45, 46, 49, 50, 54, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
7,30.014578342437744,"[0, 67, 4, 7, 8, 72, 78, 15, 79, 84, 86, 23, 27, 28, 91, 92, 95, 33, 36, 37, 38, 103, 100, 41, 101, 105, 47, 50, 52, 54, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",31,29,True
8,30.121131658554077,"[65, 1, 5, 6, 72, 74, 76, 13, 78, 80, 84, 21, 86, 23, 87, 25, 89, 90, 94, 32, 99, 102, 38, 105, 106, 45, 49, 50, 54, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
9,30.278939247131348,"[2, 5, 72, 10, 11, 13, 78, 80, 81, 82, 17, 21, 85, 23, 87, 25, 90, 30, 94, 98, 102, 39, 105, 42, 108, 45, 50, 56, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
10,30.107773542404175,"[1, 67, 5, 7, 8, 72, 75, 78, 80, 82, 84, 21, 86, 23, 87, 25, 90, 93, 30, 31, 98, 100, 101, 102, 38, 42, 106, 44, 50, 54, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",31,29,True
11,60.07635688781738,"[1, 5, 8, 72, 11, 75, 78, 79, 21, 22, 23, 86, 25, 87, 30, 95, 97, 34, 35, 99, 38, 104, 106, 43, 45, 49, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
12,60.01202416419983,"[2, 5, 72, 9, 10, 11, 78, 80, 81, 82, 17, 20, 85, 87, 24, 26, 90, 92, 30, 96, 102, 39, 105, 42, 43, 108, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
13,60.04287648200989,"[1, 5, 8, 72, 11, 76, 78, 79, 84, 21, 86, 23, 87, 25, 90, 22, 30, 94, 36, 37, 102, 100, 41, 42, 105, 45, 49, 50, 56, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
14,60.06602501869202,"[1, 5, 7, 8, 72, 11, 78, 80, 81, 82, 84, 21, 86, 23, 87, 25, 90, 30, 34, 35, 37, 102, 39, 101, 105, 108, 45, 50, 55, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
15,60.195154905319214,"[0, 66, 4, 6, 72, 75, 12, 13, 78, 15, 79, 81, 23, 87, 27, 28, 91, 92, 33, 100, 103, 41, 105, 106, 47, 51, 52, 60, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
16,90.61349749565125,"[1, 65, 5, 72, 9, 11, 76, 78, 79, 17, 21, 86, 23, 87, 25, 89, 90, 30, 94, 98, 99, 102, 107, 45, 46, 49, 50, 56, 57, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
17,90.00191950798035,"[1, 67, 5, 72, 11, 13, 78, 79, 81, 17, 85, 21, 23, 88, 25, 90, 30, 95, 34, 35, 37, 101, 39, 105, 45, 49, 55, 56, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
18,90.2011284828186,"[1, 5, 72, 9, 11, 76, 78, 79, 17, 85, 21, 23, 87, 25, 90, 30, 94, 98, 102, 38, 39, 41, 42, 107, 45, 49, 50, 56, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
19,90.4716374874115,"[0, 4, 7, 72, 9, 11, 75, 78, 15, 79, 85, 23, 87, 27, 28, 91, 92, 33, 98, 100, 38, 103, 41, 106, 49, 50, 52, 56, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
20,90.3608009815216,"[1, 67, 5, 70, 7, 72, 11, 13, 78, 79, 81, 21, 86, 23, 88, 25, 30, 95, 35, 37, 101, 103, 39, 105, 42, 45, 49, 50, 56, 60]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
21,120.22518682479858,"[1, 66, 67, 5, 8, 72, 11, 76, 13, 78, 83, 21, 23, 25, 93, 30, 97, 36, 100, 104, 42, 43, 46, 47, 48, 53, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
22,120.00193500518799,"[1, 65, 5, 7, 72, 9, 11, 75, 78, 82, 85, 21, 23, 25, 89, 90, 30, 94, 97, 99, 102, 38, 106, 44, 47, 53, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
23,120.17418551445007,"[64, 1, 65, 5, 70, 7, 9, 74, 75, 82, 84, 21, 86, 23, 87, 25, 89, 90, 94, 32, 98, 102, 38, 40, 107, 45, 47, 50, 54, 62]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
24,120.01003193855286,"[1, 66, 65, 5, 7, 72, 9, 11, 76, 78, 82, 84, 21, 23, 25, 89, 30, 94, 97, 103, 40, 107, 44, 46, 47, 48, 53, 55, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
25,120.00013041496277,"[1, 6, 72, 11, 76, 13, 78, 79, 19, 85, 21, 23, 87, 25, 30, 96, 97, 34, 35, 99, 103, 104, 45, 46, 49, 52, 55, 56, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
26,180.0016369819641,"[1, 65, 5, 70, 72, 9, 11, 76, 78, 17, 83, 21, 86, 23, 25, 89, 94, 30, 97, 103, 40, 43, 107, 46, 47, 48, 50, 53, 56, 60]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
27,180.0011851787567,"[1, 65, 5, 72, 9, 11, 76, 78, 79, 17, 85, 21, 23, 25, 89, 90, 94, 30, 97, 99, 100, 102, 45, 46, 47, 53, 56, 57, 61, 63]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
28,180.10559058189392,"[1, 65, 6, 72, 13, 78, 80, 81, 82, 19, 84, 21, 86, 23, 88, 25, 89, 90, 30, 32, 97, 96, 101, 39, 44, 108, 46, 50, 54, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
29,180.00431871414185,"[0, 5, 72, 9, 11, 75, 78, 79, 17, 84, 21, 86, 23, 87, 25, 91, 28, 92, 30, 98, 36, 100, 38, 103, 41, 47, 50, 52, 55, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
30,180.0387089252472,"[0, 64, 4, 6, 75, 12, 13, 78, 15, 79, 86, 23, 87, 27, 28, 91, 92, 33, 100, 38, 103, 41, 105, 106, 47, 50, 51, 52, 60, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
31,300.1837112903595,"[0, 5, 8, 72, 11, 76, 78, 79, 84, 21, 86, 23, 87, 25, 22, 91, 28, 92, 30, 36, 100, 103, 41, 105, 106, 47, 50, 52, 55, 61]","[2, 6, 7, 12, 14, 22, 24, 26, 31, 37, 39, 43, 48, 49, 53, 57, 58, 62, 64, 68, 73, 79, 84, 87, 88, 94, 99, 101, 104]",30,29,True
