ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,15.174469232559204,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
2,15.094906568527222,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
3,15.000126600265503,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
4,15.120283365249634,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
5,15.00043773651123,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
6,30.02497696876526,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
7,30.00002145767212,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
8,30.05159878730774,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
9,30.23564910888672,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
10,30.000417947769165,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
11,60.045429944992065,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
12,60.15150737762451,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 107, 114, 115, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",63,42,True
13,60.01899433135986,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
14,60.12930750846863,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
15,60.10856509208679,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
16,90.03257775306702,"[0, 1, 3, 4, 6, 7, 8, 11, 12, 13, 15, 16, 17, 19, 21, 23, 24, 29, 30, 31, 33, 34, 36, 38, 40, 43, 44, 47, 49, 52, 54, 55, 56, 58, 59, 61, 63, 68, 71, 74, 76, 78, 82, 87, 90, 92, 95, 96, 98, 101, 103, 105, 108, 109, 114, 116, 130, 133, 136, 142, 148, 152, 157, 161]","[2, 6, 10, 13, 15, 22, 23, 26, 28, 34, 36, 40, 44, 49, 53, 58, 64, 73, 74, 77, 82, 86, 88, 92, 99, 100, 103, 107, 109, 110, 113, 123, 129, 130, 134, 143, 146, 147, 148, 152, 159, 162]",64,42,True
