ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,1800.0001635551453,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 158, 159, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",84,57,True
2,1800.1101989746094,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 158, 159, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",84,57,True
3,1801.7592823505402,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
4,1800.034590959549,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
5,1800.0276582241058,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 158, 159, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",84,57,True
6,1800.093760728836,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
7,1800.3327600955963,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
8,1800.5428681373596,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 158, 159, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",84,57,True
9,1800.2572059631348,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
10,1800.0008034706116,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 25, 28, 30, 32, 33, 35, 39, 41, 42, 43, 45, 47, 49, 52, 55, 56, 58, 60, 61, 62, 64, 66, 71, 73, 76, 78, 79, 83, 84, 86, 88, 90, 92, 95, 97, 99, 103, 110, 114, 119, 120, 123, 125, 127, 128, 130, 134, 135, 137, 139, 146, 150, 153, 155, 160, 163, 164, 173, 176, 179, 192, 195, 199, 201, 212]","[1, 2, 5, 7, 9, 11, 13, 18, 19, 28, 29, 33, 34, 35, 38, 39, 47, 50, 53, 55, 59, 62, 65, 66, 67, 75, 78, 94, 99, 102, 104, 111, 113, 116, 118, 121, 126, 128, 129, 132, 136, 141, 146, 155, 162, 172, 176, 179, 182, 188, 192, 196, 198, 203, 210, 211, 215]",83,57,True
