ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,17.853353023529053,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
2,38.44135785102844,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
3,47.12301778793335,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
4,43.98904800415039,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
5,31.355079650878906,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
6,33.49107575416565,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
7,14.288671493530273,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
8,16.50312042236328,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
9,18.97056007385254,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
10,17.0501606464386,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
11,52.87956953048706,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
12,19.481607913970947,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
13,24.735203981399536,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
14,41.39734673500061,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
15,17.260973930358887,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
16,15.923851013183594,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
17,26.452953100204468,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
18,16.417530298233032,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
19,20.906846284866333,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
20,16.451639890670776,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
21,2.901346206665039,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
22,42.06191372871399,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
23,72.11825323104858,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
24,49.82298684120178,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
25,76.38134574890137,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
26,38.80069899559021,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
27,36.459532737731934,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
28,40.076058864593506,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
29,43.628586769104004,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
30,42.17250037193298,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
31,35.55810904502869,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
32,98.57996392250061,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
33,39.57805109024048,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
34,158.93750667572021,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
35,12.114179849624634,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
36,31.009811878204346,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
37,42.10221219062805,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
38,54.300843238830566,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
39,37.0615336894989,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
40,60.36660552024841,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
41,1.835726261138916,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
42,97.42012238502502,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
43,70.63148999214172,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
44,64.674161195755,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
45,70.32330131530762,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
46,81.37860441207886,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
47,70.2340190410614,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
48,74.98522686958313,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
49,50.60242486000061,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
50,39.383299589157104,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
51,92.712393283844,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
52,65.87006974220276,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
53,33.78056263923645,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
54,37.86853003501892,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
55,25.04937982559204,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
56,31.351735591888428,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
57,37.00835347175598,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
58,29.213104963302612,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
59,89.2769103050232,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
60,25.77815556526184,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
61,41.16276931762695,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
62,38.04564142227173,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
63,132.55943775177002,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
64,44.311341524124146,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
65,164.265230178833,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
66,82.23176336288452,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
67,185.77504515647888,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
68,59.43906807899475,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
69,45.288941621780396,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
70,160.59348702430725,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
71,37.794723987579346,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
72,71.96194410324097,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
73,76.07144165039062,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
74,64.58941125869751,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
75,36.902207374572754,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
76,95.76395845413208,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
77,76.66808867454529,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
78,101.46689629554749,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
79,49.84036707878113,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
80,35.327128648757935,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
81,10.671257495880127,"[3, 8, 11, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
82,46.895509243011475,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
83,207.92044949531555,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
84,93.02373480796814,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
85,131.68313884735107,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
86,47.543928384780884,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
87,93.52499842643738,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
