ID,Time,Solution,Expected Solution,Number of Vertices,Number of vertices expected,Valid Solution
1,0.003004312515258789,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
2,0.0033330917358398438,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
3,0.0020072460174560547,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
4,0.003055572509765625,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
5,0.0029973983764648438,"[2, 3, 8, 12, 14, 25, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
6,0.0030117034912109375,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
7,0.0035948753356933594,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
8,0.0027687549591064453,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
9,0.0028340816497802734,"[3, 8, 14, 23, 25, 26, 27, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
10,0.0030031204223632812,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
11,0.003003358840942383,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
12,0.002916574478149414,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
13,0.0020012855529785156,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
14,0.003512859344482422,"[3, 8, 10, 14, 22, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
15,0.003514528274536133,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
16,0.003000020980834961,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
17,0.0035521984100341797,"[3, 8, 12, 14, 23, 25, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
18,0.003515958786010742,"[3, 8, 12, 14, 23, 25, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
19,0.002999544143676758,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
20,0.0030012130737304688,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
21,0.004056453704833984,"[3, 8, 14, 22, 23, 25, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
22,0.0030939579010009766,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
23,0.003667593002319336,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
24,0.0025758743286132812,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
25,0.002997159957885742,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
26,0.003073453903198242,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
27,0.003485441207885742,"[3, 8, 12, 14, 23, 25, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
28,0.0010025501251220703,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
29,0.0030012130737304688,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
30,0.002596139907836914,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
31,0.003053903579711914,"[3, 8, 13, 14, 22, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
32,0.00152587890625,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
33,0.0027933120727539062,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
34,0.00357818603515625,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
35,0.0030667781829833984,"[3, 8, 10, 12, 14, 24, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
36,0.003584146499633789,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
37,0.003643512725830078,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
38,0.0038416385650634766,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
39,0.0035185813903808594,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
40,0.0029954910278320312,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
41,0.0030002593994140625,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
42,0.003998279571533203,"[3, 8, 10, 14, 22, 24, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
43,0.0036458969116210938,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
44,0.003002166748046875,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
45,0.0030701160430908203,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
46,0.0036439895629882812,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
47,0.002999544143676758,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
48,0.0035665035247802734,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
49,0.0025267601013183594,"[3, 8, 10, 12, 14, 23, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
50,0.00251007080078125,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
51,0.0025780200958251953,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
52,0.002997159957885742,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
53,0.0020012855529785156,"[3, 8, 11, 14, 23, 26, 27, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
54,0.0010030269622802734,"[0, 3, 7, 8, 10, 12, 14, 23, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",10,9,True
55,0.003001689910888672,"[2, 3, 8, 10, 12, 14, 26, 28, 29]","[4, 9, 13, 14, 15, 24, 27, 29, 30]",9,9,True
